Resumption of the session	Wiederaufnahme der Sitzungsperiode
He has just been preaching to the Group of the Party of European Socialists because they went back on a decision taken in a perfectly clear manner at the Conference of Presidents, and now he is doing just the same.	Zum einen belehrt er die Sozialdemokratische Fraktion, weil diese eine ganz klare und eindeutige Entscheidung der Konferenz der Präsidenten in Frage stellt. Und nun tut er genau dasselbe.
We discussed that matter and we were unanimous, with the exception of the PPE and ELDR Groups.	Wir haben diskutiert, wir waren uns einig, nur die EVP-Fraktion und die Liberalen nicht.
As my fellow chairmen will recall, I even mentioned that it was not a matter of knowing whether one was for or against the Tobin tax, but of whether one dared to hear what the Commission and the Council thought of it.	Und ich hatte noch darauf hingewiesen, die anderen Präsidentenkollegen werden sich noch daran erinnern, daß es nicht darum geht, ob man für oder gegen die Tobin-Steuer ist, sondern darum, ob wir bereit sind, uns anzuhören, was die Kommission und der Rat davon halten.
It is not a lot to ask.	Das ist nicht zuviel verlangt.
I therefore repeat the proposal that this oral question to the Commission and the Council should be retained so that we can find out, once and for all, the positions of these two bodies regarding the proposal which is relatively modest but which would give a clear message to public opinion, particularly after the tide of feeling generated by the failure of the Seattle Conference.	Ich wiederhole also den Vorschlag, diese mündliche Anfrage an die Kommission und den Rat aufrechtzuerhalten, um ein für alle Mal die Meinung dieser beiden Institutionen zu diesem relativ bescheidenen Vorschlag zu erfahren, der für die Öffentlichkeit ein wichtiges Signal wäre, insbesondere nach der Aufregung im Gefolge des Scheiterns der Konferenz von Seattle.
We shall proceed to vote on the PPE-DE Group' s request that the oral question regarding the capital tax be withdrawn from the agenda.	Wir stimmen jetzt über den Antrag der PPE/DE-Fraktion ab, die mündliche Anfrage über die Kapitalsteuer von der Tagesordnung abzusetzen.
(Parliament rejected the request, with 164 votes for, 166 votes against and 7 abstentions)	(Das Parlament lehnt den Antrag mit 164 Ja-Stimmen, 166 Nein-Stimmen und 7 Enthaltungen ab.)
Madam President, I would like to thank Mr Poettering for advertising this debate.	Frau Präsidentin, ich möchte Herrn Poettering für das Rühren der Werbetrommel zugunsten dieser Aussprache danken.
Thank you very much.	Vielen Dank.
Madam President, has my vote been counted?	Frau Präsidentin! Ist meine Stimme mitgezählt worden?
I was unable to vote electronically, since I do not have a card.	Ich konnte sie nämlich nicht elektronisch abgeben, weil ich die Karte nicht habe.
My vote was "in favour" .	Ich habe "dafür " gestimmt.
Indeed, if we add the two Members who have declared themselves, then the result of the vote would be ....	In der Tat, wenn man die beiden Mitglieder, die sich gemeldet haben hinzuzählt, dann ergibt sich als Ergebnis ...
Madam President, the Presidency has already declared the result of the vote.	Frau Präsidentin! Die Präsidentschaft hat das Ergebnis der Abstimmung verkündet.
There is no room for amendments.	Änderungen sind nicht möglich.
Madam President, in the earlier vote - and I will abide by your ruling on this matter - on the question of the strategic plan of the Commission I indicated that I would like to speak in advance of the vote on behalf of my Group.	Frau Präsidentin, bei der früheren Abstimmung zur Frage des Strategieplans der Kommission - keine Angst, ich werde mich an Ihre Entscheidung in dieser Sache halten - hatte ich darum gebeten, vor der Abstimmung im Namen meiner Fraktion sprechen zu dürfen.
That did not happen.	Dazu kam es nicht.
I would appreciate it if, on the close of this item of business, I might be allowed to give an explanation of vote on behalf of my Group.	Ich würde es begrüßen, wenn ich zum Abschluß dieses Geschäftspunktes die Möglichkeit hätte, im Namen meiner Fraktion eine Erklärung zur Abstimmung abzugeben.
This is an important matter.	Das ist eine wichtige Angelegenheit.
It would be useful for the record of the House to state how people perceive what we have just done in the light of their own political analysis.	Vielleicht wäre es sinnvoll festzuhalten, wie das, was wir eben getan haben, von den einzelnen vor dem Hintergrund ihrer eigenen politischen Analyse aufgenommen wird.
Madam President, I do not wish to reopen the debate, but I had also asked for the floor, to comment on Mr Barón Crespo's motion.	Frau Präsidentin! Ich will die Debatte nicht wieder aufnehmen, aber ich hatte mich auch gemeldet, um zu dem Antrag von Herrn Barón Crespo Stellung zu nehmen.
You did not call me either.	Sie haben mich auch nicht aufgerufen.
I regret this, but the vote has already been taken and the decision is made so let us leave the matter there.	Ich bedauere das, aber die Abstimmung ist durchgeführt worden, die Entscheidung ist gefallen, also lassen wir die Dinge.
I am terribly sorry, Mr Hänsch and Mr Cox.	Das tut mir leid, Herr Hänsch und Herr Cox.
I did not see you asking to speak.	Ich hatte nicht gesehen, daß Sie ums Wort gebeten hatten.
Even so, I think the positions are quite clear and they shall be entered in the Minutes.	Doch die Positionen sind deutlich geworden und werden ins Protokoll aufgenommen.
When we adopt the Minutes for today' s sitting tomorrow, then any Members who think the positions have not been explained clearly enough may ask for amendments.	Wenn wir morgen das Protokoll der Sitzung von heute verabschieden, können die Kolleginnen und Kollegen, die der Auffassung sind, daß die Positionen nicht ausreichend klar geworden sind, Änderungen beantragen.
This seems to me to be a workable solution.	Ich halte dieses Vorgehen für angemessen.
Of course, the Minutes for tomorrow' s sitting will take into account any additional explanations.	Natürlich werden im Protokoll der Sitzung von morgen sämtliche zusätzlichen Erläuterungen berücksichtigt.
I think this is a better solution than proceeding now to extremely time-consuming explanations of votes.	Ich halte das für besser als jetzt lange Stimmerklärungen abzugeben.
Mr Cox, Mr Hänsch, would this be acceptable to you?	Herr Cox, Herr Hänsch, sind Sie damit einverstanden?
Madam President, if the vote records correctly how my Group voted I shall not, and cannot, object to that.	Frau Präsidentin, wenn aus der Abstimmung einwandfrei hervorgeht, wie meine Fraktion abgestimmt hat, dann werde und kann ich nichts dagegen sagen.
If your ruling is that I cannot give an explanation of vote, I accept that but with reservations.	Wenn Sie festlegen, daß ich keine Erklärung zur Abstimmung abgeben kann, akzeptiere ich das, wenngleich unter Vorbehalt.
We shall pay particular attention to the wording of the Minutes, as we always do, of course.	Beim Abfassen des Protokolls werden wir mit großer Sorgfalt vorgehen. Das tun wir im übrigen immer.
If they do not properly reflect the positions adopted, then we may correct them, if necessary.	Wenn Positionen nicht richtig wiedergegeben werden, können wir das Protokoll gegebenenfalls ändern.
(The order of business was adopted thus amended)	(Das Parlament genehmigt den geänderten Arbeitsplan.)
Safety advisers for the transport of dangerous goods	Sicherheitsberater für den Gefahrguttransport
The next item is the report (A5-0105/1999) by Mr Koch, on behalf of the Committee on Regional Policy, Transport and Tourism, on the common position adopted by the Council with a view to adopting a European Parliament and Council directive on the harmonisation of examination requirements for safety advisers for the transport of dangerous goods by road, rail or inland waterways (C5-0208/1999 - 1998/0106(COD)).	Nach der Tagesordnung folgt der Bericht (A5-0105/1999) von Herrn Koch im Namen des Ausschusses für Regionalpolitik, Verkehr und Fremdenverkehr über den Gemeinsamen Standpunkt des Rates im Hinblick auf den Erlaß der Richtlinie des Europäischen Parlaments und des Rates über die Mindestanforderungen für die Prüfung der Sicherheitsberater für die Beförderung gefährlicher Güter auf Straße, Schiene oder Binnenwasserstraßen (C5-0208/1999 - 1998/0106(COD)).
Commissioner, Madam President, ladies and gentlemen, I can be quite frank in saying that I welcome the Council's common position on harmonising the training of safety advisers for the transport of dangerous goods by road, rail or inland waterway.	Verehrte Frau Kommissarin, verehrte Präsidentin, liebe Kolleginnen und Kollegen! Ich begrüße den Gemeinsamen Standpunkt des Rates zur Harmonisierung der Ausbildung von Sicherheitsberatern für die Beförderung gefährlicher Güter auf Straße, Schiene oder Binnenwasserstraße unumwunden.
Firstly, we needed to take action on a formal level in order to meet the requirements of Directive 96/35/EC, which obliges the Member States to appoint safety advisers and to organise the training, instruction and examination of these people but does not explain this explicitly.	Erstens: Wir mußten formal tätig werden, um den Forderungen der Richtlinie 96/35/EG gerecht zu werden, die die Mitgliedstaaten zur Einsetzung von Gefahrgutbeauftragten bzw. Sicherheitsberatern sowie zur Organisation von Ausbildung, Schulung und Prüfung eben dieser Personen verpflichtet, ohne dies explizit auszuführen.
Secondly, by adopting this directive we achieve a) an increase in safety when dangerous goods are both transported and transhipped; b) a reduction in distortions of competition resulting from wide variations in national training structures and training costs and c) equal opportunities for safety advisers on the European labour market.	Zweitens: Wir erzielen mit dieser Richtlinie a) ein Mehr an Sicherheit, sowohl bei der Beförderung als auch beim Umschlag von gefährlichen Gütern; b) einen Abbau von Wettbewerbsverzerrungen infolge unterschiedlichster nationaler Ausbildungsstrukturen und Ausbildungskosten sowie c) die Herstellung der Chancengleichheit von Sicherheitsberatern auf dem europäischen Arbeitsmarkt.
Thirdly, this directive, as it currently stands in the common position, guarantees - in particular because it confines itself exclusively to minimum standards - a high degree of flexibility and modest regulation by the European Union; by adopting it we contribute to the Member States' bearing a high level of individual responsibility.	Drittens garantieren wir mit der Richtlinie, so wie sie jetzt als Gemeinsamer Standpunkt vorliegt, insbesondere da sie sich ausschließlich auf Mindestnormen beschränkt, einen hohen Flexibilitätsgrad und geringe Reglementierung durch die Europäische Union, und wir tragen zur hohen Eigenverantwortung der Mitgliedstaaten bei.
All of this is in accordance with the principle of subsidiarity and is therefore to be greatly welcomed.	All dies ist im Sinne der Subsidiarität außerordentlich zu begrüßen.
Our amendments from the first reading have, I believe, been taken into account very satisfactorily.	Unsere Änderungsanträge aus der ersten Lesung halte ich für sehr zufriedenstellend berücksichtigt.
They have either been accepted or transposed with no change in the substance, or they have been rejected because the corresponding European arrangements have not been included, for example a system of penalties for violations of the rules or a complex classification structure for related groups of questions.	Sie wurden übernommen, sinngemäß umgesetzt bzw. sie entfielen, weil die entsprechenden europäischen Regelungen nicht aufgenommen wurden, z. B. ein Sanktionssystem bei Verstößen oder eine komplizierte Blockbildung von Fragenkomplexen.
The one unanimously adopted amendment of the Committee on Regional Policy and Transport, which concerns the timetable for implementing the directive, is something which I would urge you to support.	Für den einen einstimmig angenommenen Änderungsantrag des Ausschusses für Regionalpolitik und Verkehr, der die zeitliche Umsetzung der Richtlinie betrifft, bitte ich um Zustimmung.
By not setting a specific date for the Member States to implement the directive and instead giving them a period of three months after its entry into force, we are introducing a flexibility clause which ensures that the directive will be implemented without delay.	Indem wir den Mitgliedstaaten für die Umsetzung der Richtlinie kein spezifisches Datum setzen, sondern ihnen einen Zeitraum von drei Monaten nach Inkrafttreten der Richtlinie zugestehen, führen wir eine Flexibilitätsklausel ein, die eine unverzügliche Umsetzung gewährleistet.
I would urge you to endorse this.	Ich bitte Sie um Zustimmung.
Madam President, we cannot and must not accept the fact that we hear ever more frequently of accidents causing major damage on our roads, but also on our railways and waterways, not solely but at least partly because those involved do not take the transport of dangerous goods seriously enough or because - as a result of ignorance or a lack of training on the part of the drivers or others responsible for the various vehicles - a minor accident has all too often become a major disaster.	Frau Präsidentin! Wir können und dürfen uns nicht damit abfinden, immer häufiger von Unfällen zu hören, bei denen auf der Straße, aber auch auf der Schiene oder auf Wasserwegen große Schäden entstehen, nicht nur, aber auch, weil die Betroffenen den Transit von gefährlichen Gütern nicht ernst genug nehmen oder weil durch Unwissen oder aufgrund mangelnder Ausbildung der Fahrer oder sonstiger Verantwortlicher für die diversen Verkehrsmittel aus einem kleinen Unfall allzu oft eine große Katastrophe geworden ist.
As an Austrian, I still have a vivid memory, as, I believe, we all do, of the catastrophe which cost so many human lives last year in the Tauern Tunnel, where subsequent work to rebuild the parts of the tunnel which had been destroyed in this fire continued for many months at huge expense.	Mir als Österreicher, aber ich glaube, uns allen ist noch die Katastrophe in lebendiger Erinnerung, die im vergangenen Jahr im Tauerntunnel zahlreiche Menschenleben gekostet hat und wo anschließend viele Monate lang mit gigantischem finanziellem Aufwand wiederaufgebaut werden mußte, was bei diesem Brand im Tunnel zerstört worden ist.
The renovation project, which lasted for months, cut off this important route between the north and south of Europe.	Die monatelange Renovierung hat diesen wichtigen Verkehrsweg zwischen dem Norden und dem Süden Europas abgeschnitten.
The traffic which had to be diverted because of this stretched the patience of many thousands of people in the EU to the limit.	Der dadurch bewirkte Umwegsverkehr hat viele Tausend EU-Bürger bis an die Grenze des Erträglichen belastet.
In fact, all hell broke loose in some municipalities in my province.	Es war in einzelnen Gemeinden in meinem Land wirklich die Hölle los.
Prevention has to be our answer to disasters of this kind and this draft directive is an important step towards well-trained safety advisers being available, so that the right action is taken in good time.	Prävention muß unsere Antwort auf derartige Katastrophen sein, und mit dem vorliegenden Richtlinienentwurf schaffen wir eine wichtige Grundlage dafür, daß gut ausgebildete Sicherheitsbeauftragte zur Verfügung stehen, damit rechtzeitig das Richtige getan wird.
All the same, we must not content ourselves with enacting European law to ensure greater safety.	Wir dürfen uns freilich nicht damit begnügen, europäisches Recht im Dienste von mehr Sicherheit zu schaffen.
We also need to follow this up and make sure that our rules are transposed by the Member States in good time and - even more importantly - we need to ensure that they are also applied afterwards.	Wir müssen auch konsequent darauf achten, daß unsere Vorgaben fristgerecht durch die Mitgliedstaaten umgesetzt werden, und noch wichtiger, wir müssen darauf achten, daß sie anschließend auch angewendet werden.
Please let this not be yet another sector where we subsequently have to lament the lack of enforcement.	Bitte nicht noch einen weiteren Bereich, in dem wir dann anschließend das Vollzugsdefizit beklagen müssen.
I should like to address one final point. We must not content ourselves with sealing another hole in the safety net and shutting our eyes to the fact that, where transport safety in Europe is concerned, there is still much more to be done.	Einen letzten Punkt möchte ich noch ansprechen: Wir dürfen uns nicht damit begnügen, eine weitere Lücke im Sicherheitsnetz zu schließen und die Augen davor zu verschließen, daß beim Thema Verkehrssicherheit in Europa noch viel mehr zu tun ist.
In this context, I should like to make a request and ask the Commissioner responsible, who is with us here today, to table an appropriate text as soon as possible with a view to continuing to make it safer for traffic to transit tunnels in the future, so that we in Europe do not have to experience any more such disasters on this scale.	Ich verlange in diesem Zusammenhang auch und bitte die anwesende zuständige Kommissarin, möglichst bald einen entsprechenden Text vorzulegen, um auch in Zukunft für mehr Sicherheit im Tunnelverkehr zu sorgen, damit wir in Europa solche Katastrophen nicht mehr in diesem Ausmaß erleben müssen!
Madam President, first of all I should like to thank Mr Koch for his report which has, at its heart, the issue of transport safety.	Frau Präsidentin, zunächst möchte ich Herrn Koch für seinen Bericht danken, der die Verkehrssicherheit zum Thema hat.
The report looks at the issue of harmonising the examination requirements for safety advisors working in the areas of transportation of dangerous goods by road, rail and inland waterway.	Der Bericht befaßt sich mit der Harmonisierung von Prüfungsanforderungen für Sicherheitsberater, die im Bereich der Beförderung gefährlicher Güter auf Straße, Schiene oder Binnenwasserstraße tätig sind.
I congratulate him on his excellent report.	Ich beglückwünsche ihn zu seinem ausgezeichneten Bericht.
Transport safety has sadly been in the news recently: the Paddington rail crash in London, the terrible rail crash in Norway, the two aviation crashes involving EU citizens and the natural disaster involving the Erika off Brittany - all within the last four months - remind us that transport safety can never be taken for granted and that those charged with protecting the public must be highly motivated and highly qualified.	Die Verkehrssicherheit bestimmte in letzter Zeit häufig die Negativschlagzeilen: Das Eisenbahnunglück nahe dem Londoner Bahnhof Paddington, das furchtbare Eisenbahnunglück in Norwegen, zwei Flugzeugabstürze, bei denen EU-Bürger zu Schaden kamen, und die von der Erika vor der bretonischen Küste verursachte Naturkatastrophe sind Ereignisse, die allein in den letzten vier Monaten zu verzeichnen waren. Sie machen deutlich, daß Verkehrssicherheit keine Selbstverständlichkeit ist und daß diejenigen, die für den Schutz der Öffentlichkeit verantwortlich sind, hochmotiviert und hochqualifiziert sein müssen.
The rapporteur has pointed out to the House that in its common position the Council has accepted six of Parliament's ten amendments put forward at first reading and that the substance of Parliament's other amendments has been retained.	Der Berichterstatter stellte fest, daß der Rat in seinem Gemeinsamen Standpunkt sechs der zehn vom Parlament in der ersten Lesung angenommenen Änderungen übernommen hat und daß die übrigen Änderungen des Parlaments im wesentlichen berücksichtigt worden sind.
My Group will therefore support the common position and looks forward to the enactment of the legislation which will provide us with yet another tool in our fight to make transport in the European Union as safe as possible.	Meine Fraktion wird den Gemeinsamen Standpunkt daher unterstützen und begrüßt die baldige Umsetzung der Regelung, die ein weiteres Instrument im Kampf um die maximale Erhöhung der Verkehrssicherheit in der EU darstellen wird.
When it comes to safety my Group will always support any initiatives to improve transport safety.	Initiativen zur Erhöhung der Verkehrssicherheit werden jederzeit von meiner Fraktion unterstützt.
We still have a lot of work to do in this area as recent events have proved.	Wie die jüngsten Ereignisse zeigen, gibt es in diesem Bereich noch sehr viel zu tun.
Madam President, I would like to make a few comments.	Frau Präsidentin, gestatten Sie mir einige Bemerkungen.
I would like, first of all, to thank the rapporteur for his exceptionally accurate and technical work on the report and, secondly, the Commission for the proposal it has submitted.	Danken möchte ich sowohl dem Berichterstatter für seinen überaus akribischen und sachkundigen Bericht als auch der Kommission für den von ihr eingebrachten Vorschlag.
We are concerned here with the harmonisation of examination requirements but also, in fact, with minimum requirements.	Es geht um die Angleichung der Prüfungsvorschriften, eigentlich aber auch um Mindestnormen.
This is a pity, in a sense.	In gewissem Sinne bedauere ich das.
Needless to say, safety on roads, railways and inland waterways is of key importance and, given the international nature of these types of transport, training for safety advisors should also be harmonised, therefore, as well as the requirements of the new ADR, for example, which is under way.	Selbstverständlich kommt der Verkehrssicherheit auf Straße, Schiene oder Binnenwasserstraßen überaus große Bedeutung zu, und angesichts des internationalen Charakters dieser Transporte ist es erforderlich, die Ausbildungsgänge für Sicherheitsberater sowie die Anforderungen beispielsweise im kommenden neuen ADR zu harmonisieren.
This is important, but so is enforcement and there are, of course, a number of reasons why we need to pay particular attention to this.	Das halte ich ebenso wie die Umsetzung für wichtig. Natürlich gibt es gute Gründe, weshalb wir diesem Problem besondere Aufmerksamkeit widmen müssen.
Just think of the road accidents which have occurred over recent years, for example in Belgium, the Netherlands and a number of other countries where lorries carrying dangerous goods continued to drive in foggy conditions when really they should have pulled off the road instead.	Denken Sie an die Unfälle, die sich in den letzten Jahren im Straßenverkehr ereignet haben. Beispielsweise in Belgien, den Niederlanden und weiteren Ländern fuhren Gefahrguttransporter trotz Nebels weiter und wurden nicht, wie es angesichts der Umstände eigentlich erforderlich gewesen wäre, am Straßenrand abgestellt.
Or ships from Eastern Europe which moor adjacent to ships over here, with all the obvious risks that this entails.	Oder denken Sie an Schiffer von osteuropäischen Schiffen, die hier neben anderen ankern und von denen ganz offensichtlich Gefahren ausgehen.
Furthermore, it has transpired that research in the ports in Belgium, Finland, but also in Japan has shown that 50% of containers with partially dangerous cargo are not delivered correctly for shipment.	Außerdem belegen Kontrollen in belgischen, finnischen wie auch in japanischen Häfen, daß 50 % der Container mit zum Teil gefährlicher Ladung nicht ordnungsgemäß angeliefert werden.
In short, the issue is an important one.	Kurzum, ein ernstes Problem.
If we look at the situation where safety advisers are concerned, in a number of countries it is compulsory to employ such safety advisers in companies as from 1 January of this year.	Was die Sicherheitsberater betrifft, so ist in einigen Ländern seit dem 1. Januar dieses Jahres ein solcher Berater in den Unternehmen vorgeschrieben.
There will be major problems with enforcing this rule at present, especially with smaller companies, as these cannot afford safety advisors.	Die Umsetzung ist gegenwärtig insbesondere in kleinen Betrieben mit Schwierigkeiten verbunden, denn sie können sich eine solche Stelle nicht leisten.
These smaller companies either dispose of their cargo or mix it with other cargo, which causes problems.	Entweder sie verkaufen ihre Ladung oder mischen sie mit anderer Ladung, was zu einer Reihe von Problemen führt.
It is therefore also being requested that ISO 9002 certificates possibly include the finer details of these activities in the form of annual reports and company analyses.	Gefordert werden deshalb auch die Erfassung dieser Aktivitäten in Form von Jahresberichten oder Betriebsanalysen und eventuell die Einbeziehung in die Zertifizierung nach ISO 9002.
The work is done. All that remains is the business of enforcement.	Die eigentliche Arbeit ist getan, nun geht es um die Umsetzung.
I would like to mention one final point.	Gestatten Sie mir noch einen letzten Hinweis.
With regard to enforcement, proper agreements must also be concluded with the Eastern European countries because they will not enter into treaties which deal with this matter until 1 July 2001, that is to say in eighteen months' time.	Im Hinblick auf diese Umsetzung müssen wir außerdem angemessene Vereinbarungen mit den osteuropäischen Ländern treffen, da sie erst ab 1. Juli 2001, also in anderthalb Jahren, den entsprechenden Übereinkommen beitreten werden.
This gives them a competitive edge for the interim period.	Dadurch erwachsen ihnen vorübergehend Wettbewerbsvorteile.
This is not in itself anything dreadful, but we should prioritise particularly the safety aspects for goods transported by road, rail and inland waterways and incorporate these, as part of the acquis communautaire, as soon as possible and present them to the acceding states.	Obgleich ich das an sich nicht schlimm finde, sollten wir insbesondere den Sicherheitsaspekten des Gefahrguttransports auf Straße, Schiene und Binnenwasserstraßen Priorität einräumen, diesen Teil des Besitzstands so bald als möglich aufgreifen und den beitrittswilligen Staaten vorlegen.
Madam President, the importance of transport safety is highlighted on a regular basis in this Parliament and rightly so.	Frau Präsidentin, zu Recht befaßt sich das Parlament regelmäßig mit der Verkehrssicherheit.
The ever increasing volume of goods passing through Europe entails all kinds of risks, known and unknown, for employees and the social environment.	Die ständig zunehmende Menge an Gütern, die durch Europa befördert werden, stellt offen oder versteckt eine Gefahr für das Personal und die Gesellschaft dar.
Those having to deal with these risks should therefore meet stringent requirements.	Personen, die mit dieser Gefahr konfrontiert sind, haben deshalb hohen Anforderungen zu genügen.
The relevant standards which have been laid down in another Directive, 95/35/EC, seem sufficiently adequate to advise people in a responsible manner on the organisation of the transport of dangerous goods.	Mit den dazu in einer anderen Richtlinie, 95/35/EG, verankerten Normen sollten Menschen verantwortungsbewußt über die Beförderung gefährlicher Güter beraten werden können.
I am very pleased that agreement has also been reached with the Council on minimum standards regarding examinations, although I would have preferred it if uniform, set standards and modules had been established, so that certificates would be of equal value internationally.	Zu meiner Freude besteht auch mit dem Rat Übereinstimmung über Mindestanforderungen für deren Prüfung, obgleich ich mit dem Ziel international gleichwertiger Befähigungsnachweise einheitliche verbindliche Normen und Regelungen bevorzugt hätte.
This, however, does not seem feasible.	Allerdings scheint das nicht machbar zu sein.
Finally, the amendment tabled by the rapporteur is perfectly logical and I can, therefore, give it my wholehearted support.	Summa summarum halte ich den von dem Berichterstatter eingebrachten Abänderungsantrag in jeder Hinsicht für logisch und kann ihn deshalb voll und ganz unterstützen.
Mr President, Commissioner, I should first like to congratulate Mr Koch on his reports which, though technical, are nonetheless of very great significance for safety.	Herr Präsident, Frau Kommissarin, liebe Kolleginnen und Kollegen! Ich möchte zuerst dem Kollegen Koch zu seinen Berichten gratulieren, die vielleicht technische Berichte sind, aber für die Sicherheit von sehr großer Bedeutung sind.
I should like to make just a few comments.	Ich möchte nur wenige Anmerkungen machen.
Firstly, I should like to ask the Commissioner - and I am convinced that my request will fall on fertile ground - to ensure that more attention is paid to the issue of safety, be it on the roads, on the waterways or at sea.	Zuerst möchte ich die Frau Kommissarin bitten - und ich bin überzeugt, daß mein Wunsch auf fruchtbaren Boden fällt -, daß man der Frage der Sicherheit, ob auf der Straße, auf den Wasserwegen oder auf dem Meer, erhöhte Aufmerksamkeit schenkt.
Considering that it is only today that we are dealing with a Commission proposal first made on 19 March 1998, even though Parliament responded relatively quickly, this time lag is a little too long.	Wenn ich sehe, daß der erste Antrag der Kommission am 19. März 1998 gestellt wurde und wir uns heute damit beschäftigen - wobei das Parlament relativ rasch reagiert hat -, dann ist dieser Zeitraum etwas zu lang.
This is not just the fault of the Commission, but I believe that we need to take action more quickly so as to achieve harmonisation in this area as well.	Das ist jetzt nicht allein die Schuld der Kommission, aber ich glaube, daß wir rascher reagieren müssen, um hier auch zu einer Harmonisierung zu kommen.
My second point has already been mentioned: it concerns the minimum standards.	Der zweite Punkt wurde bereits erwähnt: die Mindestnormen.
In principle, I believe that in many cases where transport is concerned we should be working towards increased flexibility and country-specific rules.	Ich bin grundsätzlich der Meinung, daß wir in vielen Verkehrsbereichen erhöhte Flexibilität und länderweise Regelungen anstreben sollten.
However, when it comes to safety, I am rather sceptical because safety in Sweden, for example, is in principle no different from safety in Germany, Italy or Austria.	Bei der Sicherheit bin ich schon etwas skeptisch, weil sich die Sicherheit etwa in Schweden im Grundsatz nicht von der in Deutschland, Italien oder Österreich unterscheidet.
I can live with these minimum standards, but I would ask the Commission to monitor the situation very carefully.	Ich kann mit diesen Mindestnormen leben, aber ich bitte die Kommission, die Dinge wirklich aufmerksam zu verfolgen.
Should flexibility of this kind result in there being inadequate rules in some countries then we should work towards greater harmonisation.	Falls diese Art der Flexibilität zu ungenügenden Regelungen in einigen Ländern führen sollte, dann sollten wir eine weitere Harmonisierung vornehmen.
My third point has also been mentioned already.	Der dritte Punkt wurde auch schon erwähnt.
As you know, like Mr Rack, I come from a transit country, where this issue plays a particularly important role.	Ich komme ja ähnlich wie der Kollege Rack aus einem Transitland, wo diese Frage eine besondere Rolle spielt.
We do not want to make the conditions of competition worse for some countries unilaterally and improve them for countries such as Austria or other transit countries.	Wir wollen die Wettbewerbsbedingungen nicht einseitig für einige Länder verschlechtern und für Länder wie Österreich oder andere Transitländer verbessern.
But I believe that we should do all we can to keep the transport of dangerous goods to a minimum, in all countries, whether they are transit countries or not.	Aber ich glaube, daß wir alles unternehmen sollten, um den Transport gefährlicher Güter so gering wie möglich zu halten, und zwar in allen Ländern, ob Transitländer oder nicht.
Mr President, I would firstly like to congratulate the rapporteur, Mr Koch, on his magnificent work and his positive cooperation with the Commission with regard to improving the texts and presenting this report and this proposal; in the end there is only one amendment on the requirements for the aptitude examination for safety advisers in the transport of dangerous goods by road, rail or inland waterway.	Herr Präsident! In erster Linie möchte ich den Berichterstatter, Herrn Koch, zu seiner großartigen Arbeit und seiner konstruktiven Zusammenarbeit mit der Kommission bei der Verbesserung der Texte, der Vorlage dieses Berichts und dieses Vorschlags beglückwünschen; letztendlich gibt es nur einen Änderungsantrag in bezug auf die Anforderungen an die Prüfungsvorschriften für Sicherheitsberater für die Beförderung gefährlicher Güter auf Straße, Schiene oder Binnenwasserstraßen.
We understand that it is important that the two institutions - Parliament and Commission - cooperate and work together and that the current cooperation with the Committee on Regional Policy, and in particular the transport group, is magnificent.	Unserer Auffassung nach ist die Zusammenarbeit, die gemeinsame Arbeit der beiden Institutionen - Parlament und Kommission - wichtig, und die mit dem Ausschuß für Regionalpolitik bestehende Zusammenarbeit, konkret mit der Gruppe für Verkehr, ist hervorragend.
The common position includes practically all of the amendments accepted by the Commission and harmonises the minimum examination requirements for safety advisers and, at second reading, we can accept the amendment on the proposed date, which is much more realistic than the one originally suggested by the Commission, bearing in mind that we have now spent several years debating this question.	In den gemeinsamen Standpunkt wurden praktisch alle von der Kommission akzeptierten Änderungsanträge übernommen, die Mindestanforderungen an die Prüfungen für die Sicherheitsberater wurden harmonisiert, und in zweiter Lesung können wir den Änderungsantrag zum vorgeschlagenen Zeitpunkt annehmen, der viel realistischer ist als der anfangs von der Kommission vorgeschlagene, wenn man bedenkt, daß wir schon mehrere Jahre über diese Frage diskutieren.
Very briefly, I would like to thank the various Members for their interventions and to tell you that safety is one of the Commission' s priorities in the field of transport.	In ganz kurzen Worten möchte ich auch für die Beiträge der verschiedenen Abgeordneten danken und Ihnen, meine Damen und Herren, sagen, daß die Kommission der Sicherheit im Verkehrswesen Priorität einräumt.
As Mr Simpson has said very correctly, this is a process which we can never take for granted or regard as having come to an end.	Und wie Herr Simpson sehr richtig sagte, darf der Prozeß niemals als abgeschlossen, als gewonnen oder als vollendet betrachtet werden.
The process of increasing safety margins and safety guarantees in transport is a process which must be improved day by day.	Der Prozeß zur Erhöhung der Sicherheitsmargen und -garantien im Verkehrswesen ist ein Prozeß, der täglich vervollkommnet werden muß.
In this regard, I would also like to refer very briefly to the problems of the tunnels, which Messrs Rack and Swoboda have referred to, which, in the case of Austria, is doubtless a very sensitive issue, and great effort should be made to improve their safety.	In diesem Zusammenhang möchte ich auch ganz kurz auf die Probleme hinsichtlich der Tunnel eingehen, die von den Herren Rack und Swoboda angesprochen wurden und die im Falle Österreichs zweifellos ein sehr sensibles Thema sind, weshalb Anstrengungen unternommen werden müssen, um Möglichkeiten zur Erhöhung der Sicherheit zu finden.
In one of the worst accidents to have occurred recently, the goods being transported were not dangerous in themselves.	Bei einem der großen Unfälle in jüngster Zeit war nicht die Ladung an sich gefährlich.
