Resumption of the session	Reprise de la session
The next item is the report (A5-0105/1999) by Mr Koch, on behalf of the Committee on Regional Policy, Transport and Tourism, on the common position adopted by the Council with a view to adopting a European Parliament and Council directive on the harmonisation of examination requirements for safety advisers for the transport of dangerous goods by road, rail or inland waterways (C5-0208/1999 - 1998/0106(COD)).	L'ordre du jour appelle le rapport (A5-0105/1999) de M. Koch, au nom de la commission de la politique régionale, des transports et du tourisme, concernant la position commune arrêtée par le Conseil en vue de l'adoption de la directive du Parlement européen et du Conseil relative aux exigences minimales applicables à l'examen des conseillers à la sécurité pour le transport par route, par rail ou par voie navigable de marchandises dangereuses (C5-0208/1999 - 1998/0106(COD)).
Commissioner, Madam President, ladies and gentlemen, I can be quite frank in saying that I welcome the Council's common position on harmonising the training of safety advisers for the transport of dangerous goods by road, rail or inland waterway.	Chère Commissaire, chère Présidente, chers collègues, je me félicite sans la moindre réserve de la position commune adoptée par le Conseil en vue d'harmoniser la formation des conseillers à la sécurité pour le transport de marchandises dangereuses par route, le rail ou les voies navigables.
Firstly, we needed to take action on a formal level in order to meet the requirements of Directive 96/35/EC, which obliges the Member States to appoint safety advisers and to organise the training, instruction and examination of these people but does not explain this explicitly.	Premièrement, sur le plan formel, nous devions agir pour répondre aux exigences de la directive 96/35/CE qui engage les États membres à mettre en place des responsables du transport de marchandises dangereuses ou des conseillers à la sécurité ainsi qu'à organiser la formation et l'examen des ces personnes, sans l'exprimer de manière explicite.
Secondly, by adopting this directive we achieve a) an increase in safety when dangerous goods are both transported and transhipped; b) a reduction in distortions of competition resulting from wide variations in national training structures and training costs and c) equal opportunities for safety advisers on the European labour market.	Deuxièmement, par cette directive, nous visons a) à augmenter la sécurité tant en matière de transport que de transbordement de marchandises dangereuses ; b) à démanteler les distorsions de concurrence qui résultent des différences existant au niveau national en matière de structure et de coût de la formation et c) à engendrer l'égalité des chances entre les conseillers à la sécurité sur le marché européen de l'emploi.
Thirdly, this directive, as it currently stands in the common position, guarantees - in particular because it confines itself exclusively to minimum standards - a high degree of flexibility and modest regulation by the European Union; by adopting it we contribute to the Member States' bearing a high level of individual responsibility.	Troisièmement, avec cette directive, telle qu'elle se présente dans la position commune et, en particulier, compte tenu du fait qu'elle se limite exclusivement à des normes minimales, nous garantissons un haut degré de flexibilité et une faible réglementation en provenance de l'Union européenne et nous contribuons à grandement responsabiliser les États membres.
All of this is in accordance with the principle of subsidiarity and is therefore to be greatly welcomed.	Tout ceci doit être particulièrement salué en termes de subsidiarité.
Our amendments from the first reading have, I believe, been taken into account very satisfactorily.	J'estime que nos propositions d'amendement introduites en première lecture ont été prises en considération de manière satisfaisante.
They have either been accepted or transposed with no change in the substance, or they have been rejected because the corresponding European arrangements have not been included, for example a system of penalties for violations of the rules or a complex classification structure for related groups of questions.	Elles ont été reprises, transposées dans l'esprit convenu ou ont été supprimées car les réglementations européennes y afférentes n'avaient pas été adoptées, en ce qui concerne par exemple un système de sanctions en cas d'infraction ou l'élaboration complexe de questionnaires.
The one unanimously adopted amendment of the Committee on Regional Policy and Transport, which concerns the timetable for implementing the directive, is something which I would urge you to support.	Je vous demande d'approuver la proposition d'amendement adoptée à l'unanimité par la commission de la politique régionale, des transports et du tourisme et relative au calendrier de mise en uvre de la directive.
By not setting a specific date for the Member States to implement the directive and instead giving them a period of three months after its entry into force, we are introducing a flexibility clause which ensures that the directive will be implemented without delay.	En n'imposant aucune date spécifique de mise en uvre de la directive par les États membres mais en leur octroyant un délai de trois mois après l'entrée en vigueur de ladite directive, nous introduisons une clause de flexibilité qui nous prémunit de tout retard dans la mise en uvre.
I would urge you to endorse this.	Je vous demande votre approbation.
Madam President, we cannot and must not accept the fact that we hear ever more frequently of accidents causing major damage on our roads, but also on our railways and waterways, not solely but at least partly because those involved do not take the transport of dangerous goods seriously enough or because - as a result of ignorance or a lack of training on the part of the drivers or others responsible for the various vehicles - a minor accident has all too often become a major disaster.	Madame la Présidente, nous ne pouvons pas - nous n'avons pas le droit - de nous résigner à entendre parler de plus en plus souvent d'accidents qui provoquent, sur les routes, les voies ferrées et navigables, des dégâts importants également imputables au fait que les personnes concernées ne prennent pas assez au sérieux le transport de marchandises dangereuses ou que par ignorance ou par manque de formation du chauffeur ou de la personne responsable des divers moyens de transport, il arrive trop souvent qu'un accident bénin tourne à la catastrophe.
As an Austrian, I still have a vivid memory, as, I believe, we all do, of the catastrophe which cost so many human lives last year in the Tauern Tunnel, where subsequent work to rebuild the parts of the tunnel which had been destroyed in this fire continued for many months at huge expense.	En tant qu'Autrichien - mais je pense qu'il en est de même pour nous tous -, j'ai encore un souvenir vivace de la catastrophe qui, l'année dernière, a coûté de nombreuses vies dans le tunnel du Tauern et imposé par la suite, pendant de nombreux mois, des travaux de reconstruction des destructions provoquées par cet incendie, travaux dont l'impact financier a été gigantesque.
The renovation project, which lasted for months, cut off this important route between the north and south of Europe.	Cette rénovation, qui s'est étendue sur plusieurs mois, a coupé cette importante voie de communication entre le nord et le sud de l'Europe.
The traffic which had to be diverted because of this stretched the patience of many thousands of people in the EU to the limit.	Le trafic de détournement qui en a résulté a accablé des milliers de citoyens de l'UE jusqu'aux limites du supportable.
In fact, all hell broke loose in some municipalities in my province.	Dans certaines communes de mon pays, c'était vraiment l'enfer.
Prevention has to be our answer to disasters of this kind and this draft directive is an important step towards well-trained safety advisers being available, so that the right action is taken in good time.	Notre réponse à de telles catastrophes doit être la prévention et le projet de directive qui nous est soumis nous permet de créer une base importante en vue de disposer de responsables bien formés en matière de sécurité et, dans le même temps, de faire ce qui doit être fait.
All the same, we must not content ourselves with enacting European law to ensure greater safety.	Nous ne devrions vraiment pas nous contenter de faire évoluer le droit européen vers une plus grande sécurité.
We also need to follow this up and make sure that our rules are transposed by the Member States in good time and - even more importantly - we need to ensure that they are also applied afterwards.	Nous devons également veiller, de manière conséquente, à ce que les États membres respectent les délais de mise en uvre de nos projets et, chose plus importante encore, nous devons veiller à ce que par la suite, ces projets soient appliqués.
Please let this not be yet another sector where we subsequently have to lament the lack of enforcement.	Je vous en prie : que ce ne soit pas un domaine de plus dans lequel nous devrons ensuite déplorer le déficit de mise en uvre.
I should like to address one final point. We must not content ourselves with sealing another hole in the safety net and shutting our eyes to the fact that, where transport safety in Europe is concerned, there is still much more to be done.	Je voudrais encore aborder un dernier point : nous ne pouvons pas nous contenter de combler une des carences du réseau de sécurité et ignorer qu'en matière de sécurité des transports, il y a encore énormément à faire.
In this context, I should like to make a request and ask the Commissioner responsible, who is with us here today, to table an appropriate text as soon as possible with a view to continuing to make it safer for traffic to transit tunnels in the future, so that we in Europe do not have to experience any more such disasters on this scale.	À cet égard, j'invite et je prie la commissaire responsable, présente parmi nous, de nous présenter dès que possible un texte de nature à augmenter à l'avenir la sécurité dans les tunnels afin qu'en Europe, nous ne devions plus faire face à des catastrophes d'une telle ampleur.
Madam President, first of all I should like to thank Mr Koch for his report which has, at its heart, the issue of transport safety.	Madame la Présidente, je voudrais avant tout remercier M. Koch de son rapport dans la question de la sécurité des transports occupe une place centrale.
The report looks at the issue of harmonising the examination requirements for safety advisors working in the areas of transportation of dangerous goods by road, rail and inland waterway.	Il envisage l'harmonisation du niveau des exigences applicables à l'examen des conseillers à la sécurité pour le transport de marchandises dangereuses par route, par rail ou par voie navigable.
I congratulate him on his excellent report.	Je le félicite de son excellent rapport.
Transport safety has sadly been in the news recently: the Paddington rail crash in London, the terrible rail crash in Norway, the two aviation crashes involving EU citizens and the natural disaster involving the Erika off Brittany - all within the last four months - remind us that transport safety can never be taken for granted and that those charged with protecting the public must be highly motivated and highly qualified.	La sécurité des transports a malheureusement fait l'actualité ces derniers temps : l'accident ferroviaire de Paddington, à Londres, l'effroyable accident ferroviaire en Norvège, les deux accidents d'avion transportant des passagers de l'Union européenne et la catastrophe naturelle de l'Erika, au large de la Bretagne ­ ces événements s'étant tous produits au cours des quatre derniers mois ­ nous rappellent que nous ne pouvons croire que la sécurité des transports est garantie d'office et qu'il faut que les responsables de la protection de la population soient extrêmement motivés et qualifiés.
The rapporteur has pointed out to the House that in its common position the Council has accepted six of Parliament's ten amendments put forward at first reading and that the substance of Parliament's other amendments has been retained.	Le rapporteur a signalé au Parlement que la position commune du Conseil retient six des dix amendements au texte présentés par le Parlement en première lecture, ainsi que la teneur des autres amendements du Parlement.
My Group will therefore support the common position and looks forward to the enactment of the legislation which will provide us with yet another tool in our fight to make transport in the European Union as safe as possible.	En conséquence, mon groupe soutiendra la position commune et espère que la législation sera rapidement promulguée, qui nous fournira un outil de plus dans notre lutte pour que le transport au sein de l'Union atteigne le plus haut niveau de sécurité possible.
When it comes to safety my Group will always support any initiatives to improve transport safety.	Mon groupe soutiendra d'ailleurs toute initiative visant à améliorer la sécurité des transports.
We still have a lot of work to do in this area as recent events have proved.	Il nous reste encore beaucoup à faire en la matière, comme le montre l'actualité.
Madam President, I would like to make a few comments.	Madame la Présidente, je voudrais faire quelques remarques.
I would like, first of all, to thank the rapporteur for his exceptionally accurate and technical work on the report and, secondly, the Commission for the proposal it has submitted.	Je tiens d'abord à remercier le rapporteur pour son travail technique extrêmement précis dans ce dossier et ensuite la Commission pour la proposition qu'elle a formulée.
We are concerned here with the harmonisation of examination requirements but also, in fact, with minimum requirements.	Il s'agit de l'harmonisation des exigences des examens, mais également des exigences minimales.
This is a pity, in a sense.	Dans un certain sens, c'est dommage.
Needless to say, safety on roads, railways and inland waterways is of key importance and, given the international nature of these types of transport, training for safety advisors should also be harmonised, therefore, as well as the requirements of the new ADR, for example, which is under way.	L'importance de la sécurité sur la route, sur les rails ou sur les voies navigables est naturellement primordiale et en raison du caractère international de ces modes de transport, nous devons également harmoniser les formations des conseillers à la sécurité, ainsi que, notamment, les exigences du nouvel ADR qui devrait bientôt entrer en vigueur.
This is important, but so is enforcement and there are, of course, a number of reasons why we need to pay particular attention to this.	C'est important mais le respect de ces mesures l'est tout autant et il y a naturellement plusieurs raisons pour lesquelles nous devons y prêter une attention particulière.
Just think of the road accidents which have occurred over recent years, for example in Belgium, the Netherlands and a number of other countries where lorries carrying dangerous goods continued to drive in foggy conditions when really they should have pulled off the road instead.	Examinons les accidents de la route de ces dernières années. Par exemple en Belgique, aux Pays-Bas et dans certains autres pays par temps de brouillard, avec des camions transportant des produits dangereux, alors que dans ces conditions, ils auraient dû rester sur le bord de la route.
Or ships from Eastern Europe which moor adjacent to ships over here, with all the obvious risks that this entails.	Ou des bateliers et leurs navires d'Europe orientale qui amarrent leurs bateaux côte à côte, ce qui rend les situations dangereuses d'autant plus évidentes.
Furthermore, it has transpired that research in the ports in Belgium, Finland, but also in Japan has shown that 50% of containers with partially dangerous cargo are not delivered correctly for shipment.	En outre, une enquête menée dans des ports belges, finnois et japonais a révélé que 50 pour cent des conteneurs avec un chargement partiellement dangereux n'étaient pas correctement déchargés.
In short, the issue is an important one.	Bref, le sujet est très important.
If we look at the situation where safety advisers are concerned, in a number of countries it is compulsory to employ such safety advisers in companies as from 1 January of this year.	Si nous examinons la situation des conseillers à la sécurité, depuis le 1er janvier, dans certains pays, les entreprises doivent disposer d'un tel conseiller.
There will be major problems with enforcing this rule at present, especially with smaller companies, as these cannot afford safety advisors.	Le respect de ce principe pose d'importants problèmes actuellement, notamment pour les entreprises moins importantes qui ne peuvent se le permettre financièrement.
These smaller companies either dispose of their cargo or mix it with other cargo, which causes problems.	Elles vont soit se débarrasser de leur cargaison, soit elles vont la mélanger avec d'autres cargaisons, ce qui engendre une série de problèmes.
It is therefore also being requested that ISO 9002 certificates possibly include the finer details of these activities in the form of annual reports and company analyses.	Pour cette raison, on demande que ces activités soient développées sous la forme de rapports annuels, d'analyses d'entreprises et qu'elles soient éventuellement reprises dans des certificats ISO 9002.
The work is done. All that remains is the business of enforcement.	Le travail est fait, il s'agit encore d'en assurer le respect.
I would like to mention one final point.	Je me permets de soulever un dernier point.
With regard to enforcement, proper agreements must also be concluded with the Eastern European countries because they will not enter into treaties which deal with this matter until 1 July 2001, that is to say in eighteen months' time.	En ce qui concerne ce respect, il convient également de conclure des accords satisfaisants avec les pays d'Europe orientale car ce n'est que le 1er juillet 2001, dans un peu plus d'un an et demi, qu'ils adhéreront aux conventions en vigueur.
This gives them a competitive edge for the interim period.	Cela leur conférera un avantage concurrentiel temporaire.
This is not in itself anything dreadful, but we should prioritise particularly the safety aspects for goods transported by road, rail and inland waterways and incorporate these, as part of the acquis communautaire, as soon as possible and present them to the acceding states.	Ce n'est pas grave en soi, mais ce que nous devrions faire, c'est accorder la priorité aux aspects de la sécurité des marchandises transportées par route, par rail ou par voie navigable et présenter aussitôt que possible cette partie de l'acquis aux pays candidats.
Madam President, the importance of transport safety is highlighted on a regular basis in this Parliament and rightly so.	Madame la Présidente, dans ce Parlement, on attire régulièrement l'attention, à juste titre, sur l'importance de la sécurité dans les transports.
The ever increasing volume of goods passing through Europe entails all kinds of risks, known and unknown, for employees and the social environment.	Les quantités de plus en plus importantes de marchandises traversant l'Europe engendrent, sciemment ou non, toute une série de risques pour le personnel qui en a la charge et la société en général.
Those having to deal with these risks should therefore meet stringent requirements.	Par conséquent, ceux qui sont soumis à ces risques doivent satisfaire à des exigences strictes.
The relevant standards which have been laid down in another Directive, 95/35/EC, seem sufficiently adequate to advise people in a responsible manner on the organisation of the transport of dangerous goods.	Les normes imposées à cet effet dans une autre directive, 95/35/CE, semblent suffisamment adéquates pour informer les gens de manière responsable de l'organisation du transport de marchandises dangereuses.
I am very pleased that agreement has also been reached with the Council on minimum standards regarding examinations, although I would have preferred it if uniform, set standards and modules had been established, so that certificates would be of equal value internationally.	Je suis ravi qu'il y ait également un accord avec le Conseil concernant les normes minimales pour leurs examens, même si j'aurais préféré des normes fixes et uniformisées, afin d'avoir des diplômes et des examens internationaux identiques.
This, however, does not seem feasible.	Toutefois, cela ne paraît pas réalisable.
Finally, the amendment tabled by the rapporteur is perfectly logical and I can, therefore, give it my wholehearted support.	Pour conclure, l'amendement proposé par le rapporteur est on ne peut plus logique et je le soutiens avec joie.
Mr President, Commissioner, I should first like to congratulate Mr Koch on his reports which, though technical, are nonetheless of very great significance for safety.	Monsieur le Président, Madame la Commissaire, chers collègues, je voudrais tout d'abord féliciter notre collègue Koch pour ses rapports, qui pour être techniques, n'en sont pas moins d'une très grande importance pour la sécurité.
I should like to make just a few comments.	Je voudrais émettre quelques rares remarques.
Firstly, I should like to ask the Commissioner - and I am convinced that my request will fall on fertile ground - to ensure that more attention is paid to the issue of safety, be it on the roads, on the waterways or at sea.	Je voudrais tout d'abord demander à Mme la commissaire - et je suis convaincu que mon vu ne demeurera pas lettre morte - qu'on accorde une plus grande attention à la question de la sécurité, que ce soit sur la route, sur les voies navigables ou en mer.
Considering that it is only today that we are dealing with a Commission proposal first made on 19 March 1998, even though Parliament responded relatively quickly, this time lag is a little too long.	Lorsque je considère que la première proposition de la Commission a été déposée le 19 mars 1998 et que nous nous en occupons aujourd'hui - alors que le Parlement a réagi assez rapidement -, le délai est un peu trop long.
This is not just the fault of the Commission, but I believe that we need to take action more quickly so as to achieve harmonisation in this area as well.	La faute n'en revient certes pas à la seule Commission mais je pense que nous devons réagir plus vite pour parvenir à une harmonisation dans ce domaine aussi.
My second point has already been mentioned: it concerns the minimum standards.	Le deuxième point a déjà été évoqué : les normes minimales.
In principle, I believe that in many cases where transport is concerned we should be working towards increased flexibility and country-specific rules.	Fondamentalement, je suis d'avis que, dans de nombreux domaines touchant aux transports, nous devrions viser à une plus grande flexibilité et à des règlements pays par pays.
However, when it comes to safety, I am rather sceptical because safety in Sweden, for example, is in principle no different from safety in Germany, Italy or Austria.	Pour ce qui est de la sécurité, je suis cependant quelque peu sceptique parce que, sur le principe, la sécurité n'est pas différente en Suède, par exemple, de ce qu'elle est en Allemagne, en Italie ou en Autriche.
I can live with these minimum standards, but I would ask the Commission to monitor the situation very carefully.	Je peux m'accommoder de ces normes minimales mais je prie la Commission de suivre ce dossier avec une réelle attention.
Should flexibility of this kind result in there being inadequate rules in some countries then we should work towards greater harmonisation.	Si ce genre de flexibilité devait mener à l'apparition de règlements insatisfaisants dans certains pays, nous devrions opter pour une plus grande harmonisation.
My third point has also been mentioned already.	Le troisième point a lui aussi été déjà évoqué.
As you know, like Mr Rack, I come from a transit country, where this issue plays a particularly important role.	Comme M. Rack, je viens d'une région de transit dans laquelle cette question joue un rôle particulier.
We do not want to make the conditions of competition worse for some countries unilaterally and improve them for countries such as Austria or other transit countries.	Nous ne voulons pas une détérioration unilatérale des conditions de concurrence prévalant dans certains pays au profit de pays tels que l'Autriche ou d'autres régions de transit.
But I believe that we should do all we can to keep the transport of dangerous goods to a minimum, in all countries, whether they are transit countries or not.	Je pense toutefois que nous devrions tout faire pour limiter autant que possible le transport de marchandises dangereuses, et ce dans l'ensemble des pays, qu'ils soient des régions de transit ou non.
Mr President, I would firstly like to congratulate the rapporteur, Mr Koch, on his magnificent work and his positive cooperation with the Commission with regard to improving the texts and presenting this report and this proposal; in the end there is only one amendment on the requirements for the aptitude examination for safety advisers in the transport of dangerous goods by road, rail or inland waterway.	Monsieur le Président, je voudrais tout d'abord féliciter le rapporteur, M. Koch, de son magnifique travail et de sa collaboration positive avec la Commission pour améliorer les textes, présenter ce rapport et cette proposition ; en fin de compte, seul un amendement a été présenté, qui porte sur les exigences applicables à l'examen d'aptitude des conseillers à la sécurité pour le transport par route, par rail ou par voie navigable de marchandises dangereuses.
We understand that it is important that the two institutions - Parliament and Commission - cooperate and work together and that the current cooperation with the Committee on Regional Policy, and in particular the transport group, is magnificent.	Nous pensons que la collaboration, le travail commun de la part des deux institutions ­ Parlement et Commission ­ est importante et que la coopération qui existe avec la commission de la politique régionale, et concrètement avec le groupe des transports, est magnifique.
The common position includes practically all of the amendments accepted by the Commission and harmonises the minimum examination requirements for safety advisers and, at second reading, we can accept the amendment on the proposed date, which is much more realistic than the one originally suggested by the Commission, bearing in mind that we have now spent several years debating this question.	La position commune inclut pratiquement tous les amendements acceptés par la Commission, harmonise les exigences minimales applicables aux examens des conseillers à la sécurité et, en deuxième lecture, nous pouvons accepter la date proposée, bien plus réaliste que celle projetée au départ par la Commission, sachant que cela fait déjà plusieurs années que nous débattons cette question.
Very briefly, I would like to thank the various Members for their interventions and to tell you that safety is one of the Commission' s priorities in the field of transport.	Très brièvement, je voudrais également remercier les différents députés de leurs interventions et dire que la sécurité est une priorité de la Commission dans le domaine des transports.
As Mr Simpson has said very correctly, this is a process which we can never take for granted or regard as having come to an end.	Comme l'a très bien dit M. Simpson, il ne faut jamais considérer que le processus est acquis, qu'il a abouti.
The process of increasing safety margins and safety guarantees in transport is a process which must be improved day by day.	Le processus visant à augmenter les marges, les garanties de sécurité dans les transports est un processus qu'il convient d'améliorer jour après jour.
In this regard, I would also like to refer very briefly to the problems of the tunnels, which Messrs Rack and Swoboda have referred to, which, in the case of Austria, is doubtless a very sensitive issue, and great effort should be made to improve their safety.	En ce sens, je voudrais également aborder très brièvement les problèmes des tunnels, auxquels MM. Rack et Swoboda ont fait référence, et qui, dans le cas de l'Autriche, constituent sans aucun doute un sujet très sensible, raison pour laquelle il est nécessaire de faire des efforts pour voir comment accroître leur sécurité.
In one of the worst accidents to have occurred recently, the goods being transported were not dangerous in themselves.	Lors d'un des gros accidents survenus dernièrement, la marchandise transportée n'était pas dangereuse en soi.
Margarine and a few kilos of paint which, in principle, do not present risks, led to a genuine disaster.	La margarine et quelques kilos de peinture qui ne présentaient normalement pas de risques, ont provoqué une véritable catastrophe.
Therefore, we will have to see how the requirements guaranteeing the maximum degree of safety can be further improved.	Il faut dès lors étudier la manière dont on peut ajuster encore plus les exigences afin de garantir un maximum de sécurité.
Finally, I would like to say that we have to consider safety in all types of transport.	Pour terminer, je voudrais dire qu'il est nécessaire d'aborder la sécurité de tous les types de transport.
This week we will be holding a debate here on the safety of sea transport, in light of the Erika disaster, and in the course of this year we will have to discuss our objectives in terms of the safety of air transport.	Cette semaine, nous organiserons un débat ici pour parler de la sécurité du transport maritime, à la suite de la catastrophe de l'Erika, et nous devrons discuter tout au long de cette année des objectifs, en matière de sécurité, du transport aérien.
But I would like to say that safety is a priority objective for the Commission.	Mais je tiens à dire, Mesdames et Messieurs les Députés, que la sécurité est un objectif prioritaire de la Commission.
As I will say in the debate on the Erika disaster, we do not wait until there is a disaster to deal with the question of safety, but we work on it even when there are no such circumstances, which simply serve to demonstrate the urgency for an effective response to this type of problem.	Comme je le dirai lors du débat sur l'Erika, nous n'attendons pas qu'une catastrophe survienne pour nous consacrer corps et âme à l'aspect de la sécurité, mais nous travaillons dessus en marge de ces circonstances, qui ne font que mettre en évidence l'urgence d'une réponse efficace à ce type de problèmes.
I would like to repeat my appreciation to all the speakers and especially to the rapporteur, Mr Koch.	Je tiens à réitérer mes remerciements à tous les intervenants et plus particulièrement au rapporteur, M. Koch.
The debate is closed.	Le débat est clos.
The vote will take place tomorrow at 12 p.m.	Le vote aura lieu demain à 12 heures.
Transport of dangerous goods by road	Transport de marchandises dangereuses par route
The next item is the report (A5-0104/1999) by Mr Koch, on behalf of the Committee on Regional Policy, Transport and Tourism, on the proposal for a European Parliament and Council directive amending Directive 94/55/EC on the approximation of the laws of the Member States with regard to the transport of dangerous goods by road [COM(1999) 158 - C5-0004/1999 - 1999/0083(COD)].	L'ordre du jour appelle le rapport (A5-0104/1999) de M. Koch, au nom de la commission de la politique régionale, des transports et du tourisme, sur la proposition de directive du Parlement européen et du Conseil modifiant la directive 94/55/CE relative au rapprochement des législations des États membres concernant le transport de marchandises dangereuses par route (COM(1999) 158 - C5-0004/1999 - 1999/0083 (COD)).
Mr President, Commissioner, ladies and gentlemen, the directive on the approximation of the laws of the Member States with regard to the transport of dangerous goods by road, which entered into force on 1 January 1997, contains a number of transitional provisions which are only valid for a limited period of time, the term of validity being linked to the completion of specific standardisation work by the CEN, that is the European Committee for Standardisation.	Monsieur le Président, Madame la Commissaire, chers collègues, la directive entrée en vigueur au 1er janvier 1997 et visant au rapprochement des législations des États membres concernant le transport de marchandises dangereuses par route contient quelques dispositions transitoires dont la validité est limitée dans le temps et liée à la conclusion des travaux du CEN, le Comité européen de normalisation.
Delays in the CEN' s work are now making it difficult to apply this very directive.	Les retards survenus dans les travaux du CEN entraînent à présent des problèmes dans l'application même de la directive.
In particular, annexes cannot be adapted to take account of technical and industrial developments.	Il s'agit en particulier des annexes qui ne pourront être adaptées pour répondre à l'évolution technique et industrielle.
I regret this since we are having to take action because others have not done their job.	Je le déplore car nous devons agir du fait que d'autres n'ont pas fait leur travail.
In this respect, I accept this proposal to amend Directive 94/55/EC which has been tabled for discussion today.	Dans cette mesure, j'accepte donc la proposition de modification de la directive 94/55/CE qui est soumise à notre examen.
Should the European Union fail to take action, then Member States would be obliged to amend their national legislation for a very brief period, until the CEN completes its work, which would cause unnecessary cost and uncertainty.	L'inaction de l'Union européenne obligerait les États membres à modifier leurs dispositions légales en la matière pour un bref laps de temps, à savoir jusqu'à la conclusion des travaux du CEN, ce qui entraînerait des coûts et des incertitudes inutiles.
The amendment to the directive on today's agenda does not therefore affect the existing harmonisation of the transport of dangerous goods in the Community.	La modification qui est à l'ordre du jour n'entraîne donc aucune modification de l'harmonisation communautaire existante en matière de transports de marchandises dangereuses.
It merely prolongs transitional rules by postponing deadlines, deletes provisions which are no longer applicable, and lays down the procedures for a) carrying out the ad hoc transportation of dangerous goods and b) enacting less stringent national regulations, in particular for the transport of very small amounts of dangerous goods within strictly defined local areas.	Elle ne fait que prolonger les réglementations transitoires en repoussant les délais, supprime des dispositions qui ont cessé d'être pertinentes et règle les procédures pour ce qui est a) des transports ad hoc de marchandises dangereuses et b) de la promulgation de dispositions nationales moins strictes, en particulier pour le transport de quantités très réduites de marchandises dangereuses dans des zones strictement délimitées.
The amendment to the directive is consequently in full accordance with the principle of subsidiarity; the Member States obtain more powers.	Ce faisant, la modification de la directive s'inscrit pleinement dans l'esprit de subsidiarité ; les États membres bénéficiant de compétences accrues.
The Commission decides whether the Member States may impose certain rules of their own. In so doing, it is supported by a committee of experts on the transport of dangerous goods under the regulatory procedure.	La Commission européenne décide si les États membres peuvent édicter des dispositions spécifiques déterminées, la procédure de réglementation prévoyant qu'elle bénéficie à cette fin du soutien d'un comité d'experts en matière de transports de marchandises dangereuses.
The procedures for the exercise of these implementing powers conferred on the Commission were laid down afresh in the Council Decision of June 1999.	En juin 1999, une décision du Conseil a redéfini les modalités de l'exercice des compétences d'exécution conférées à la Commission.
The proposal to be discussed today, to amend the directive on the transport of dangerous goods by road, dates from May 1999, however, and could not therefore take account of the latest comitology procedure.	Toutefois, la présente proposition de directive modifiant la directive en matière de transport de marchandises dangereuses par route remonte à mai 1999 et ne pouvait donc tenir compte de la procédure comitologique actuelle.
Two of the amendments tabled and adopted unanimously by the committee relate precisely to this amended comitology procedure.	Sur deux cas précis, les propositions d'amendement introduites par la commission et y ayant fait l'objet d'un accord unanime portent justement sur cette procédure comitologique modifiée.
We would like to ensure that there is a reference to this as early as the recitals and that the period within which the Council has to make a decision - which is not clearly worded - is set at a maximum of three months.	Nous voudrions être sûrs que cela soit déjà signalé dans les considérants et que le délai clairement formulé dans lequel le Conseil doit prendre une décision soit fixé à un maximum de trois mois.
In addition, the need for greater transparency has been pointed out.	On insiste en outre sur la nécessité d'une transparence accrue.
A further amendment allows the Member States to impose more stringent requirements, in particular for vacuum tanks, if work is done or goods are transported as a priority in temperatures well below -20ºC. This is in the special interest of northern European regions.	Une autre proposition d'amendement permet en outre aux États membres au sein desquels le travail et le transport se déroulent régulièrement sous des températures nettement inférieures à -20ºC d'édicter des exigences plus strictes, en particulier pour ce qui concerne les citernes, ceci dans l'intérêt tout particulier des régions nordiques de l'Europe.
A final amendment is intended to ensure that tanks and tankers put into service between 1 January 1997 and the entry into force of this directive may continue to be used provided that they have been constructed and maintained in accordance with it.	Enfin, une dernière proposition d'amendement devrait permettre de continuer d'utiliser les citernes et véhicules mis en service entre le 1er janvier 1997 et l'entrée en vigueur de cette directive si leur construction et leur entretien répondent aux exigences.
I do realise that this is only a small step towards increased transport safety, but I would ask you to endorse this report.	Tout en sachant que ce n'est là qu'un petit pas vers une plus grande sécurité en matière de transport, je vous prie d'approuver ce rapport.
Mr President, colleagues, a happy new year and millennium to you all.	Monsieur le Président, chers collègues, je vous adresse tous mes vux pour la nouvelle année et le nouveau millénaire.
I am speaking for the first time in this plenary part-session, so this is quite exciting for me, a little like first love, although that did last longer than two minutes.	C' est la première fois que je prends la parole en plénière, il y a donc de quoi être un peu nerveux, un peu comme avec le premier amour, mais le premier amour a quand même duré heureusement plus de deux minutes.
I would like to briefly comment on the Commission' s proposal to amend the directive on the transport of dangerous goods by road.	Je voudrais commenter brièvement la proposition de la Commission modifiant la directive sur le transport de marchandises dangereuses par route.
It is good that this directive should be established now, as, otherwise, Member States would have to amend their national acts for a very short time, a period of transition, which would again mean unnecessary costs and which would once more increase concern with regard to EU bureaucracy.	C' est une bonne chose que cette directive soit arrêtée maintenant, car sinon les États membres seraient obligés de modifier leur législation nationale pour une période transitoire très courte, ce qui ne ferait qu' entraîner des coûts inutiles et augmenterait encore une fois le mécontentement des gens face à la bureaucratie communautaire.
The Commission' s proposal, however, does not take account of all the facts, such as the cold climate that prevails in the northern regions.	La proposition de la Commission ne prend cependant pas en considération tous les facteurs nécessaires. Je pense par exemple au climat froid des régions septentrionales.
Consequently, I have tabled some amendments to Mr Koch' s intrinsically excellent report, which have been adopted by our committee.	Aussi ai-je proposé quelques amendements au rapport, excellent en soi, de M. Koch, amendements qui ont été adoptés par notre commission.
My amendments concern the frost-resistance ratings for tankers carrying these dangerous goods.	Mes amendements concernent la résistance au froid des citernes de transport des substances dangereuses.
